Due Days,Test Code,Work Order,Sample,Client Code,Received,Log Date,Due Date,Priority,Container Type,Cylinder #,Matrix,Test Notes,Work Order Comment,Sample 2,Column 1,
4,GC-2163M,26054722,001A,CAT-OIL,5/22/2026,5/22/2026,6/1/2026,3,Cylinder piston 300cc,1111-003213,Liquid,,,Adjust Charges,,FALSE
,,,,,,,,,,,,,,Catalyst sent to Houston 5.22,,
6,GC-C6GAS,26055376,001A,ENERGY-TRA-LA-GRA,5/27/2026,5/28/2026,6/3/2026,3,Cylinder 300cc,1111-013096,Gas,,,,,FALSE
6,GC-C6GAS,26055376,002A,ENERGY-TRA-LA-GRA,5/27/2026,5/28/2026,6/3/2026,3,Cylinder 300cc,1111-013052,Gas,,,,,FALSE
6,GC-C6GAS,26055376,003A,ENERGY-TRA-LA-GRA,5/27/2026,5/28/2026,6/3/2026,3,Cylinder 300cc,1111-013081,Gas,,,,,FALSE
6,GC-C6GAS,26055376,004A,ENERGY-TRA-LA-GRA,5/27/2026,5/28/2026,6/3/2026,3,Cylinder 300cc,1111-010755,Gas,,,,,FALSE
6,GC-C6GAS,26055376,005A,ENERGY-TRA-LA-GRA,5/27/2026,5/28/2026,6/3/2026,3,Cylinder 300cc,1111-013179,Gas,,,,,FALSE
6,GC-C6GAS,26055376,006A,ENERGY-TRA-LA-GRA,5/27/2026,5/28/2026,6/3/2026,3,Cylinder 300cc,1111-012540,Gas,,,,,FALSE
6,GC-C6GAS,26055376,007A,ENERGY-TRA-LA-GRA,5/27/2026,5/28/2026,6/3/2026,3,Cylinder 300cc,1111-010561,Gas,,,,,FALSE
6,GC-C6GAS,26055376,008A,ENERGY-TRA-LA-GRA,5/27/2026,5/28/2026,6/3/2026,3,Cylinder 300cc,4030-00880,Gas,,,,,FALSE
6,GC-C6GAS,26055376,009A,ENERGY-TRA-LA-GRA,5/27/2026,5/28/2026,6/3/2026,3,Cylinder 300cc,1111-012910,Gas,,,,,FALSE
6,GC-C6GAS,26055376,010A,ENERGY-TRA-LA-GRA,5/27/2026,5/28/2026,6/3/2026,3,Cylinder 300cc,1111-013196,Gas,,,,,FALSE
6,GC-C6GAS,26055376,011A,ENERGY-TRA-LA-GRA,5/27/2026,5/28/2026,6/3/2026,3,Cylinder 300cc,1111-012496,Gas,,,,,FALSE
6,GC-C6GAS,26055376,012A,ENERGY-TRA-LA-GRA,5/27/2026,5/28/2026,6/3/2026,3,Cylinder 300cc,1111-013191,Gas,,,,,FALSE
6,GC-C6GAS,26055376,013A,ENERGY-TRA-LA-GRA,5/27/2026,5/28/2026,6/3/2026,3,Cylinder 300cc,1111-010234,Gas,,,,,FALSE
4,GC-D-2598,26054722,001A,CAT-OIL,5/22/2026,5/22/2026,6/1/2026,3,Cylinder piston 300cc,1111-003213,Liquid,,,Adjust Charges,,FALSE
,,,,,,,,,,,,,,Catalyst sent to Houston 5.22,,
